Date,Advances,Declines,AD_Ratio
2011-01-03,1087,347,3.13
2011-01-04,650,790,0.82
2011-01-05,319,1113,0.29
2011-01-06,355,1069,0.33
2011-01-07,128,1317,0.1
2011-01-10,173,1273,0.14
2011-01-11,458,964,0.48
2011-01-12,1032,395,2.61
2011-01-13,459,981,0.47
2011-01-14,314,1121,0.28
2011-01-17,322,1117,0.29
2011-01-18,771,647,1.19
2011-01-19,679,722,0.94
2011-01-20,751,671,1.12
2011-01-21,721,671,1.07
2011-01-24,826,570,1.45
2011-01-25,495,928,0.53
2011-01-27,359,1062,0.34
2011-01-28,147,1311,0.11
2011-01-31,477,948,0.5
2011-02-01,376,1050,0.36
2011-02-02,730,685,1.07
2011-02-03,985,443,2.22
2011-02-04,327,1098,0.3
2011-02-07,474,954,0.5
2011-02-08,174,1268,0.14
2011-02-09,140,1320,0.11
2011-02-10,511,927,0.55
2011-02-11,1192,242,4.93
2011-02-14,1337,123,10.87
2011-02-15,774,652,1.19
2011-02-16,865,557,1.55
2011-02-17,921,516,1.78
2011-02-18,271,1177,0.23
2011-02-21,626,799,0.78
2011-02-22,462,966,0.48
2011-02-23,505,903,0.56
2011-02-24,159,1284,0.12
2011-02-25,587,834,0.7
2011-02-28,804,607,1.32
2011-03-01,1205,228,5.29
2011-03-03,653,764,0.85
2011-03-04,666,769,0.87
2011-03-07,322,1119,0.29
2011-03-08,947,469,2.02
2011-03-09,862,550,1.57
2011-03-10,566,837,0.68
2011-03-11,363,1073,0.34
2011-03-14,794,634,1.25
2011-03-15,248,1196,0.21
2011-03-16,1013,425,2.38
2011-03-17,504,917,0.55
2011-03-18,445,994,0.45
2011-03-21,529,897,0.59
2011-03-22,868,559,1.55
2011-03-23,856,569,1.5
2011-03-24,858,564,1.52
2011-03-25,976,470,2.08
2011-03-28,681,763,0.89
2011-03-29,554,892,0.62
2011-03-30,1149,298,3.86
2011-03-31,662,775,0.85
2011-04-01,1163,294,3.96
2011-04-04,1272,194,6.56
2011-04-05,1004,454,2.21
2011-04-06,887,565,1.57
2011-04-07,984,484,2.03
2011-04-08,353,1108,0.32
2011-04-11,460,996,0.46
2011-04-13,1084,372,2.91
2011-04-15,534,912,0.59
2011-04-18,389,1059,0.37
2011-04-19,665,775,0.86
2011-04-20,1064,375,2.84
2011-04-21,649,789,0.82
2011-04-25,615,824,0.75
2011-04-26,604,822,0.73
2011-04-27,578,864,0.67
2011-04-28,449,995,0.45
2011-04-29,364,1085,0.34
2011-05-02,439,1004,0.44
2011-05-03,205,1248,0.16
2011-05-04,459,976,0.47
2011-05-05,343,1091,0.31
2011-05-06,910,516,1.76
2011-05-09,601,837,0.72
2011-05-10,660,760,0.87
2011-05-11,829,568,1.46
2011-05-12,406,1028,0.39
2011-05-13,884,531,1.66
2011-05-16,422,1019,0.41
2011-05-17,441,989,0.45
2011-05-18,424,1014,0.42
2011-05-19,479,937,0.51
2011-05-20,848,576,1.47
2011-05-23,267,1176,0.23
2011-05-24,655,775,0.85
2011-05-25,499,930,0.54
2011-05-26,763,639,1.19
2011-05-27,988,446,2.22
2011-05-30,869,557,1.56
2011-05-31,1030,410,2.51
2011-06-01,936,488,1.92
2011-06-02,451,976,0.46
2011-06-03,595,839,0.71
2011-06-06,578,8436,0.07
2011-06-07,835,586,1.42
2011-06-08,641,772,0.83
2011-06-09,620,806,0.77
2011-06-10,502,914,0.55
2011-06-13,671,744,0.9
2011-06-14,802,615,1.3
2011-06-15,481,953,0.5
2011-06-16,422,998,0.42
2011-06-17,377,1084,0.35
2011-06-20,149,1331,0.11
2011-06-21,582,852,0.68
2011-06-22,428,1016,0.42
2011-06-23,572,863,0.66
2011-06-24,1182,288,4.1
2011-06-27,897,532,1.69
2011-06-28,777,655,1.19
2011-06-29,959,482,1.99
2011-06-30,788,655,1.2
2011-07-01,870,563,1.55
2011-07-04,972,473,2.05
2011-07-05,717,732,0.98
2011-07-06,725,716,1.01
2011-07-07,1010,424,2.38
2011-07-08,457,982,0.47
2011-07-11,543,875,0.62
2011-07-12,373,1083,0.34
2011-07-13,1050,385,2.73
2011-07-14,854,587,1.45
2011-07-15,622,816,0.76
2011-07-18,766,682,1.12
2011-07-19,900,545,1.65
2011-07-20,485,979,0.5
2011-07-21,503,942,0.53
2011-07-22,930,518,1.8
2011-07-25,849,608,1.4
2011-07-26,376,1084,0.35
2011-07-27,596,852,0.7
2011-07-28,373,1089,0.34
2011-07-29,498,941,0.53
2011-08-01,582,891,0.65
2011-08-02,323,1144,0.28
2011-08-03,519,933,0.56
2011-08-04,478,979,0.49
2011-08-05,177,1323,0.13
2011-08-08,261,1235,0.21
2011-08-09,344,1134,0.3
2011-08-10,1238,248,4.99
2011-08-11,645,813,0.79
2011-08-12,577,870,0.66
2011-08-16,327,1143,0.29
2011-08-17,388,1074,0.36
2011-08-18,233,1238,0.19
2011-08-19,353,1127,0.31
2011-08-22,1042,416,2.5
2011-08-23,1027,412,2.49
2011-08-24,616,844,0.73
2011-08-25,492,962,0.51
2011-08-26,213,1273,0.17
2011-08-29,1270,218,5.83
2011-08-30,1077,387,2.78
2011-09-02,894,570,1.57
2011-09-05,751,711,1.06
2011-09-06,894,562,1.59
2011-09-07,1121,355,3.16
2011-09-08,894,567,1.58
2011-09-09,521,949,0.55
2011-09-12,300,1186,0.25
2011-09-13,738,732,1.01
2011-09-14,825,619,1.33
2011-09-15,834,623,1.34
2011-09-16,648,813,0.8
2011-09-19,659,793,0.83
2011-09-20,1006,460,2.19
2011-09-21,846,616,1.37
2011-09-22,131,1373,0.1
2011-09-23,432,1051,0.41
2011-09-26,321,1163,0.28
2011-09-27,1156,316,3.66
2011-09-28,438,1034,0.42
2011-09-29,641,820,0.78
2011-09-30,494,950,0.52
2011-10-03,343,1123,0.31
2011-10-04,444,1017,0.44
2011-10-05,507,959,0.53
2011-10-07,1075,390,2.76
2011-10-10,968,496,1.95
2011-10-11,848,613,1.38
2011-10-12,1032,409,2.52
2011-10-13,720,725,0.99
2011-10-14,754,705,1.07
2011-10-17,691,775,0.89
2011-10-18,367,1090,0.34
2011-10-19,972,467,2.08
2011-10-20,510,923,0.55
2011-10-21,520,937,0.55
2011-10-24,639,823,0.78
2011-10-25,677,770,0.88
2011-10-26,1200,237,5.06
2011-10-28,996,501,1.99
2011-10-31,767,706,1.09
2011-11-01,501,963,0.52
2011-11-02,702,753,0.93
2011-11-03,680,751,0.91
2011-11-04,880,588,1.5
2011-11-08,673,785,0.86
2011-11-09,364,1124,0.32
2011-11-11,379,1108,0.34
2011-11-14,340,1137,0.3
2011-11-15,190,1315,0.14
2011-11-16,410,1072,0.38
2011-11-17,402,1083,0.37
2011-11-18,410,1079,0.38
2011-11-21,356,1138,0.31
2011-11-22,760,719,1.06
2011-11-23,310,1190,0.26
2011-11-24,823,658,1.25
2011-11-25,824,630,1.31
2011-11-28,1138,356,3.2
2011-11-29,581,536,1.08
2011-11-30,894,924,0.97
2011-12-01,961,495,1.94
2011-12-02,1022,416,2.46
2011-12-05,690,739,0.93
2011-12-07,778,692,1.12
2011-12-08,333,1151,0.29
2011-12-09,435,1028,0.42
2011-12-12,311,1171,0.27
2011-12-13,540,923,0.59
2011-12-14,464,1016,0.46
2011-12-15,385,1094,0.35
2011-12-16,314,1166,0.27
2011-12-19,265,1229,0.22
2011-12-20,382,1112,0.34
2011-12-21,964,517,1.86
2011-12-22,880,591,1.49
2011-12-23,807,638,1.26
2011-12-26,972,492,1.98
2011-12-27,588,864,0.68
2011-12-28,458,998,0.46
2011-12-29,519,947,0.55
2011-12-30,705,750,0.94
2012-01-02,767,678,1.13
2012-01-03,1237,237,5.22
2012-01-04,791,655,1.21
2012-01-05,797,661,1.21
2012-01-06,707,738,0.96
2012-01-07,930,380,2.45
2012-01-09,950,531,1.79
2012-01-10,1252,257,4.87
2012-01-11,1030,471,2.19
2012-01-12,740,742,1.0
2012-01-13,1048,468,2.24
2012-01-16,685,805,0.85
2012-01-17,1048,441,2.38
2012-01-18,433,1070,0.4
2012-01-19,1018,479,2.13
2012-01-20,637,835,0.76
2012-01-23,727,750,0.97
2012-01-24,907,579,1.57
2012-01-25,983,502,1.96
2012-01-27,981,508,1.93
2012-01-30,415,1086,0.38
2012-01-31,1047,438,2.39
