Month-Year,General IIP YoY %,Base Series
Jan-11,5.2,2004-05
Feb-11,6.7,2004-05
Mar-11,7.3,2004-05
Apr-11,6.3,2004-05
May-11,5.6,2004-05
Jun-11,6.2,2004-05
Jul-11,3.7,2004-05
Aug-11,4.1,2004-05
Sep-11,2.5,2004-05
Oct-11,-5.1,2004-05
Nov-11,5.9,2004-05
Dec-11,2.7,2004-05
Jan-12,5.2,2004-05
Feb-12,4.9,2004-05
Mar-12,-3.5,2004-05
Apr-12,-0.7,2011-12
May-12,5,2011-12
Jun-12,2.3,2011-12
Jul-12,1.5,2011-12
Aug-12,-0.1,2011-12
Sep-12,-1,2011-12
Oct-12,3.7,2011-12
Nov-12,-1.7,2011-12
Dec-12,7.1,2011-12
Jan-13,7.2,2011-12
Feb-13,1.4,2011-12
Mar-13,15.2,2011-12
Apr-13,3.3,2011-12
May-13,1,2011-12
Jun-13,-1,2011-12
Jul-13,3.2,2011-12
Aug-13,4.4,2011-12
Sep-13,6.8,2011-12
Oct-13,1.9,2011-12
Nov-13,3.7,2011-12
Dec-13,3.5,2011-12
Jan-14,4.8,2011-12
Feb-14,5.2,2011-12
Mar-14,2.9,2011-12
Apr-14,3.9,2011-12
May-14,4.7,2011-12
Jun-14,8.3,2011-12
Jul-14,5.4,2011-12
Aug-14,3.5,2011-12
Sep-14,4.3,2011-12
Oct-14,0.3,2011-12
Nov-14,7.4,2011-12
Dec-14,4,2011-12
Jan-15,1.8,2011-12
Feb-15,3,2011-12
Mar-15,2.4,2011-12
Apr-15,0.7,2011-12
May-15,1.8,2011-12
Jun-15,1,2011-12
Jul-15,1.3,2011-12
Aug-15,3.7,2011-12
Sep-15,2.2,2011-12
Oct-15,9,2011-12
Nov-15,0.8,2011-12
Dec-15,3.1,2011-12
Jan-16,4,2011-12
Feb-16,7.2,2011-12
Mar-16,5.2,2011-12
Apr-16,6,2011-12
May-16,7.3,2011-12
Jun-16,8,2011-12
Jul-16,4.5,2011-12
Aug-16,4,2011-12
Sep-16,5,2011-12
Oct-16,4.2,2011-12
Nov-16,5.1,2011-12
Dec-16,2.4,2011-12
Jan-17,3.5,2011-12
Feb-17,1.2,2011-12
Mar-17,4.4,2011-12
Apr-17,3.2,2011-12
May-17,2.9,2011-12
Jun-17,-0.3,2011-12
Jul-17,1,2011-12
Aug-17,4.8,2011-12
Sep-17,4.1,2011-12
Oct-17,1.8,2011-12
Nov-17,8.5,2011-12
Dec-17,7.3,2011-12
Jan-18,7.5,2011-12
Feb-18,6.9,2011-12
Mar-18,5.3,2011-12
Apr-18,4.5,2011-12
May-18,3.8,2011-12
Jun-18,7,2011-12
Jul-18,6.5,2011-12
Aug-18,4.8,2011-12
Sep-18,4.6,2011-12
Oct-18,8.4,2011-12
Nov-18,0.2,2011-12
Dec-18,2.5,2011-12
Jan-19,1.6,2011-12
Feb-19,0.2,2011-12
Mar-19,2.7,2011-12
Apr-19,3.2,2011-12
May-19,4.5,2011-12
Jun-19,1.3,2011-12
Jul-19,4.9,2011-12
Aug-19,-1.4,2011-12
Sep-19,-4.6,2011-12
Oct-19,-6.6,2011-12
Nov-19,2.1,2011-12
Dec-19,0.4,2011-12
Jan-20,2.2,2011-12
Feb-20,5.2,2011-12
Mar-20,-18.7,2011-12
Apr-20,-57.3,2011-12
May-20,-33.4,2011-12
Jun-20,-16.6,2011-12
Jul-20,-10.5,2011-12
Aug-20,-7.1,2011-12
Sep-20,1,2011-12
Oct-20,4.5,2011-12
Nov-20,-1.6,2011-12
Dec-20,2.2,2011-12
Jan-21,-0.6,2011-12
Feb-21,-3.2,2011-12
Mar-21,24.2,2011-12
Apr-21,133.5,2011-12
May-21,0,2011-12
Jun-21,27.6,2011-12
Jul-21,13.8,2011-12
Aug-21,11.5,2011-12
Sep-21,13,2011-12
Oct-21,4.4,2011-12
Nov-21,4.2,2011-12
Dec-21,1,2011-12
Jan-22,1,2011-12
Feb-22,2,2011-12
Mar-22,1.2,2011-12
Apr-22,2.2,2011-12
May-22,6.7,2011-12
June-22,19.7,2011-12
Jul-22,12.6,2011-12
Aug-22,2.2,2011-12
Sep-22,-0.7,2011-12
Oct-22,3.3,2011-12
Nov-22,-4.1,2011-12
Dec-22,7.6,2011-12
Jan-23,5.1,2011-12
Feb-23,5.8,2011-12
Mar-23,6,2011-12
Apr-23,1.9,2011-12
May-23,4.6,2011-12
Jun-23,5.7,2011-12
Jul-23,4,2011-12
Aug-23,6.2,2011-12
Sep-23,10.9,2011-12
Oct-23,6.4,2011-12
Nov-23,11.9,2011-12
Dec-23,2.5,2011-12
Jan-24,4.4,2011-12
Feb-24,4.2,2011-12
Mar-24,5.6,2011-12
Apr-24,5.5,2011-12
May-24,5.2,2011-12
Jun-24,6.3,2011-12
Jul-24,4.9,2011-12
Aug-24,5,2011-12
Sep-24,0,2011-12
Oct-24,3.2,2011-12
Nov-24,3.7,2011-12
Dec-24,5,2011-12
Jan-25,3.7,2011-12
Feb-25,5.2,2011-12
Mar-25,2.7,2011-12
Apr-25,2.6,2011-12
May-25,1.9,2011-12
Jun-25,1.5,2011-12
Jul-25,4.3,2011-12
Aug-25,4.1,2011-12
Sep-25,4.6,2011-12
Oct-25,0.5,2011-12
Nov-25,7.2,2011-12
Dec-25,7.8,2011-12
