"Index Name","Date","Open","High","Low","Close"
"NIFTY BANK","31 Dec 2013","11410.25","11427.85","11316.55","11385.25"
"NIFTY BANK","30 Dec 2013","11532.60","11552.40","11355.05","11376.00"
"NIFTY BANK","27 Dec 2013","11409.25","11514.45","11409.25","11459.70"
"NIFTY BANK","26 Dec 2013","11335.80","11426.45","11317.45","11385.75"
"NIFTY BANK","24 Dec 2013","11399.15","11405.00","11287.30","11330.65"
"NIFTY BANK","23 Dec 2013","11258.65","11453.45","11258.65","11378.50"
"NIFTY BANK","20 Dec 2013","11117.70","11318.55","11074.55","11292.35"
"NIFTY BANK","19 Dec 2013","11505.55","11505.55","11040.15","11087.45"
"NIFTY BANK","18 Dec 2013","11129.65","11572.30","11117.45","11357.90"
"NIFTY BANK","17 Dec 2013","11412.70","11418.10","11178.00","11208.65"
"NIFTY BANK","16 Dec 2013","11347.20","11440.85","11309.70","11372.95"
"NIFTY BANK","13 Dec 2013","11483.85","11534.35","11349.85","11366.90"
"NIFTY BANK","12 Dec 2013","11736.25","11781.70","11622.70","11635.50"
"NIFTY BANK","11 Dec 2013","11747.45","11877.75","11687.60","11784.35"
"NIFTY BANK","10 Dec 2013","12041.00","12067.45","11774.95","11843.45"
"NIFTY BANK","09 Dec 2013","12206.95","12225.95","12007.30","12065.90"
"NIFTY BANK","06 Dec 2013","11648.35","11770.65","11579.50","11720.20"
"NIFTY BANK","05 Dec 2013","11469.35","11685.55","11469.35","11665.10"
"NIFTY BANK","04 Dec 2013","11158.70","11216.05","11107.75","11156.75"
"NIFTY BANK","03 Dec 2013","11250.70","11310.70","11174.50","11211.30"
"NIFTY BANK","02 Dec 2013","11180.30","11347.45","11180.30","11284.35"
"NIFTY BANK","29 Nov 2013","10941.60","11186.15","10941.60","11153.95"
"NIFTY BANK","28 Nov 2013","10994.25","11062.15","10843.00","10906.75"
"NIFTY BANK","27 Nov 2013","10941.60","10961.35","10827.75","10899.30"
"NIFTY BANK","26 Nov 2013","11040.65","11133.40","10893.30","10909.35"
"NIFTY BANK","25 Nov 2013","10780.60","11097.95","10780.60","11083.40"
"NIFTY BANK","22 Nov 2013","10796.45","10820.00","10630.55","10677.35"
"NIFTY BANK","21 Nov 2013","10866.30","10866.30","10657.85","10706.90"
"NIFTY BANK","20 Nov 2013","11127.35","11156.50","10905.55","10967.15"
"NIFTY BANK","19 Nov 2013","11159.05","11207.70","11107.35","11187.85"
"NIFTY BANK","18 Nov 2013","10962.25","11156.60","10962.25","11142.30"
"NIFTY BANK","14 Nov 2013","10660.65","10891.90","10660.65","10811.20"
"NIFTY BANK","13 Nov 2013","10469.10","10652.30","10412.05","10523.35"
"NIFTY BANK","12 Nov 2013","10755.65","10860.35","10543.15","10583.05"
"NIFTY BANK","11 Nov 2013","10786.25","10940.50","10674.50","10758.45"
"NIFTY BANK","08 Nov 2013","11011.05","11067.00","10841.60","10913.15"
"NIFTY BANK","07 Nov 2013","11320.85","11398.60","11024.75","11054.90"
"NIFTY BANK","06 Nov 2013","11510.40","11510.40","11269.95","11292.55"
"NIFTY BANK","05 Nov 2013","11539.75","11736.20","11462.10","11498.90"
"NIFTY BANK","03 Nov 2013","11678.70","11691.20","11582.65","11614.05"
"NIFTY BANK","01 Nov 2013","11472.20","11694.45","11443.60","11628.65"
"NIFTY BANK","31 Oct 2013","11211.30","11512.50","11170.05","11473.15"
"NIFTY BANK","30 Oct 2013","11284.85","11366.45","11211.50","11249.35"
"NIFTY BANK","29 Oct 2013","10779.65","11268.20","10669.00","11241.65"
"NIFTY BANK","28 Oct 2013","10924.45","11002.40","10752.35","10773.20"
"NIFTY BANK","25 Oct 2013","10880.85","10951.75","10797.60","10896.50"
"NIFTY BANK","24 Oct 2013","10839.45","11091.60","10839.45","10902.45"
"NIFTY BANK","23 Oct 2013","10837.05","10912.80","10732.35","10880.65"
"NIFTY BANK","22 Oct 2013","10743.80","10907.55","10707.85","10809.10"
"NIFTY BANK","21 Oct 2013","10751.70","10871.75","10700.55","10797.55"
"NIFTY BANK","18 Oct 2013","10387.30","10784.00","10387.30","10744.90"
"NIFTY BANK","17 Oct 2013","10406.05","10416.20","10274.35","10336.55"
"NIFTY BANK","15 Oct 2013","10738.20","10738.20","10339.10","10389.25"
"NIFTY BANK","14 Oct 2013","10588.95","10706.80","10550.00","10665.25"
"NIFTY BANK","11 Oct 2013","10423.60","10649.30","10307.90","10622.15"
"NIFTY BANK","10 Oct 2013","10309.20","10372.05","10199.55","10288.95"
"NIFTY BANK","09 Oct 2013","10004.40","10360.35","9947.25","10334.95"
"NIFTY BANK","08 Oct 2013","10418.85","10451.15","10090.60","10141.45"
"NIFTY BANK","07 Oct 2013","10124.15","10124.15","9877.45","10082.10"
"NIFTY BANK","04 Oct 2013","10171.45","10328.75","10111.75","10197.15"
"NIFTY BANK","03 Oct 2013","9946.30","10241.45","9888.70","10222.95"
"NIFTY BANK","01 Oct 2013","9685.15","9912.95","9582.75","9883.30"
"NIFTY BANK","30 Sep 2013","9783.90","9815.00","9587.75","9617.80"
"NIFTY BANK","27 Sep 2013","10131.65","10131.65","9883.95","9899.75"
"NIFTY BANK","26 Sep 2013","10091.40","10189.40","10051.20","10098.25"
"NIFTY BANK","25 Sep 2013","10191.85","10232.45","9919.70","10081.70"
"NIFTY BANK","24 Sep 2013","10063.05","10289.75","10046.70","10175.90"
"NIFTY BANK","23 Sep 2013","10466.30","10509.55","10177.90","10211.70"
"NIFTY BANK","20 Sep 2013","11163.95","11188.10","10409.80","10686.80"
"NIFTY BANK","19 Sep 2013","10984.50","11219.45","10984.50","11148.65"
"NIFTY BANK","18 Sep 2013","10327.15","10481.50","10241.95","10447.85"
"NIFTY BANK","17 Sep 2013","10320.85","10334.30","10223.95","10279.60"
