"Index Name","Date","Open","High","Low","Close"
"NIFTY FMCG","31 Dec 2018","30633.85","30729.05","30486.50","30516.65"
"NIFTY FMCG","28 Dec 2018","30354.75","30666.60","30336.45","30544.00"
"NIFTY FMCG","27 Dec 2018","30218.25","30431.35","30148.95","30377.50"
"NIFTY FMCG","26 Dec 2018","29841.20","30109.10","29569.80","29996.25"
"NIFTY FMCG","24 Dec 2018","30371.70","30420.05","29876.40","29950.95"
"NIFTY FMCG","21 Dec 2018","30798.00","30886.60","30157.35","30199.80"
"NIFTY FMCG","20 Dec 2018","30791.65","31064.35","30642.15","30759.95"
"NIFTY FMCG","19 Dec 2018","30720.30","31058.65","30692.50","30977.25"
"NIFTY FMCG","18 Dec 2018","30566.65","30652.65","30426.10","30589.40"
"NIFTY FMCG","17 Dec 2018","30477.60","30719.70","30393.50","30624.20"
"NIFTY FMCG","14 Dec 2018","30166.90","30406.75","30119.55","30371.50"
"NIFTY FMCG","13 Dec 2018","30286.95","30489.05","30179.05","30291.25"
"NIFTY FMCG","12 Dec 2018","29656.35","30169.40","29573.65","30085.40"
"NIFTY FMCG","11 Dec 2018","28974.65","29700.90","28960.65","29562.95"
"NIFTY FMCG","10 Dec 2018","29315.90","29382.55","29161.80","29211.50"
"NIFTY FMCG","07 Dec 2018","29606.15","29745.65","29530.95","29673.65"
"NIFTY FMCG","06 Dec 2018","29803.85","29803.85","29440.50","29489.30"
"NIFTY FMCG","05 Dec 2018","30056.95","30101.80","29745.00","29936.20"
"NIFTY FMCG","04 Dec 2018","30306.05","30476.45","30111.10","30150.70"
"NIFTY FMCG","03 Dec 2018","30312.00","30526.25","30077.85","30348.35"
"NIFTY FMCG","30 Nov 2018","30226.15","30438.55","29924.70","30126.25"
"NIFTY FMCG","29 Nov 2018","29863.05","30176.30","29798.50","30097.95"
"NIFTY FMCG","28 Nov 2018","29952.95","30151.90","29578.10","29682.60"
"NIFTY FMCG","27 Nov 2018","29938.15","29951.80","29711.95","29913.45"
"NIFTY FMCG","26 Nov 2018","29336.30","29984.95","29312.75","29935.50"
"NIFTY FMCG","22 Nov 2018","29385.65","29581.05","29179.75","29244.10"
"NIFTY FMCG","21 Nov 2018","29425.75","29516.45","29228.80","29390.85"
"NIFTY FMCG","20 Nov 2018","29660.20","29721.10","29307.95","29407.65"
"NIFTY FMCG","19 Nov 2018","29248.30","29702.35","29141.60","29651.60"
"NIFTY FMCG","16 Nov 2018","29099.95","29266.40","29041.55","29153.35"
"NIFTY FMCG","15 Nov 2018","29134.30","29277.15","28900.35","29020.50"
"NIFTY FMCG","14 Nov 2018","28892.60","29196.15","28803.60","29047.90"
"NIFTY FMCG","13 Nov 2018","28499.05","28850.35","28405.00","28783.35"
"NIFTY FMCG","12 Nov 2018","28783.00","28839.60","28479.65","28536.35"
"NIFTY FMCG","09 Nov 2018","28769.40","28866.55","28586.00","28731.05"
"NIFTY FMCG","07 Nov 2018","28759.00","28795.65","28652.55","28757.85"
"NIFTY FMCG","06 Nov 2018","28874.25","28875.25","28396.50","28497.10"
"NIFTY FMCG","05 Nov 2018","28929.30","28929.30","28517.00","28725.10"
"NIFTY FMCG","02 Nov 2018","28489.75","29091.05","28489.10","28836.80"
"NIFTY FMCG","01 Nov 2018","28628.25","28718.25","28161.70","28355.10"
