"Index Name","Date","Open","High","Low","Close"
"NIFTY IT","31 Dec 2019","15754.05","15775.25","15634.50","15652.40"
"NIFTY IT","30 Dec 2019","15801.50","15868.95","15715.10","15775.00"
"NIFTY IT","27 Dec 2019","15740.40","15824.15","15657.50","15780.70"
"NIFTY IT","26 Dec 2019","15784.45","15806.85","15690.95","15706.45"
"NIFTY IT","24 Dec 2019","15877.40","15880.15","15739.45","15778.20"
"NIFTY IT","23 Dec 2019","15811.40","15936.00","15809.05","15865.50"
"NIFTY IT","20 Dec 2019","15811.95","15890.95","15781.25","15844.55"
"NIFTY IT","19 Dec 2019","15741.20","15835.50","15654.70","15812.95"
"NIFTY IT","18 Dec 2019","15680.50","15835.80","15649.15","15710.65"
"NIFTY IT","17 Dec 2019","15417.55","15670.35","15387.20","15637.15"
"NIFTY IT","16 Dec 2019","15263.75","15446.25","15223.10","15348.70"
"NIFTY IT","13 Dec 2019","14987.90","15221.45","14965.15","15200.55"
"NIFTY IT","12 Dec 2019","15151.10","15184.15","14890.60","14972.65"
"NIFTY IT","11 Dec 2019","14972.00","15147.35","14963.65","15130.30"
"NIFTY IT","10 Dec 2019","15120.05","15123.35","14903.25","14946.50"
"NIFTY IT","09 Dec 2019","15309.70","15322.55","15136.25","15157.15"
"NIFTY IT","06 Dec 2019","15383.45","15390.05","15269.25","15289.60"
"NIFTY IT","05 Dec 2019","15164.15","15385.45","15101.80","15367.50"
"NIFTY IT","04 Dec 2019","14918.50","15188.55","14896.60","15175.15"
"NIFTY IT","03 Dec 2019","14870.90","14956.45","14808.40","14920.75"
"NIFTY IT","02 Dec 2019","15056.85","15070.65","14819.40","14852.00"
"NIFTY IT","29 Nov 2019","15132.95","15147.25","14964.25","14998.05"
"NIFTY IT","28 Nov 2019","15069.15","15136.20","15042.65","15121.75"
"NIFTY IT","27 Nov 2019","14957.50","15049.00","14946.55","15022.15"
"NIFTY IT","26 Nov 2019","15174.65","15212.65","14867.45","14922.15"
"NIFTY IT","25 Nov 2019","15002.20","15112.90","14950.95","15100.60"
"NIFTY IT","22 Nov 2019","15216.55","15220.05","14931.35","14995.90"
"NIFTY IT","21 Nov 2019","15353.70","15435.40","15279.40","15293.95"
"NIFTY IT","20 Nov 2019","15349.05","15349.05","15235.00","15318.50"
"NIFTY IT","19 Nov 2019","15318.65","15371.80","15256.85","15304.85"
"NIFTY IT","18 Nov 2019","15326.80","15373.85","15251.00","15295.25"
"NIFTY IT","15 Nov 2019","15425.05","15471.15","15287.10","15310.60"
