"Index Name","Date","Open","High","Low","Close"
"NIFTY METAL","29 Dec 2023","7940.50","8016.45","7874.10","7978.00"
"NIFTY METAL","28 Dec 2023","7890.00","7946.55","7871.95","7926.35"
"NIFTY METAL","27 Dec 2023","7780.35","7863.75","7769.45","7847.75"
"NIFTY METAL","26 Dec 2023","7698.05","7762.90","7674.65","7739.80"
"NIFTY METAL","22 Dec 2023","7580.95","7662.45","7571.75","7652.65"
"NIFTY METAL","21 Dec 2023","7353.00","7551.30","7310.45","7524.00"
"NIFTY METAL","20 Dec 2023","7752.45","7766.75","7393.05","7421.55"
"NIFTY METAL","19 Dec 2023","7788.85","7799.05","7674.85","7716.65"
"NIFTY METAL","18 Dec 2023","7712.10","7790.30","7638.80","7768.55"
"NIFTY METAL","15 Dec 2023","7654.60","7751.15","7634.20","7735.35"
"NIFTY METAL","14 Dec 2023","7604.25","7634.75","7567.30","7574.25"
"NIFTY METAL","13 Dec 2023","7479.25","7539.30","7411.40","7528.20"
"NIFTY METAL","12 Dec 2023","7457.75","7533.10","7429.75","7462.60"
"NIFTY METAL","11 Dec 2023","7388.85","7449.60","7355.10","7439.70"
"NIFTY METAL","08 Dec 2023","7399.40","7487.80","7277.95","7362.90"
"NIFTY METAL","07 Dec 2023","7437.30","7450.45","7360.15","7369.85"
"NIFTY METAL","06 Dec 2023","7507.65","7512.65","7354.95","7425.35"
"NIFTY METAL","05 Dec 2023","7203.30","7445.45","7197.25","7423.40"
"NIFTY METAL","04 Dec 2023","7270.45","7275.55","7190.05","7202.60"
"NIFTY METAL","01 Dec 2023","7065.55","7127.35","7025.40","7087.00"
"NIFTY METAL","30 Nov 2023","7028.25","7047.35","6957.55","7017.45"
"NIFTY METAL","29 Nov 2023","7046.85","7055.85","7002.60","7016.40"
"NIFTY METAL","28 Nov 2023","6949.05","7021.60","6922.70","7001.65"
"NIFTY METAL","24 Nov 2023","6849.70","6891.20","6828.05","6874.25"
"NIFTY METAL","23 Nov 2023","6808.75","6836.40","6774.20","6828.35"
"NIFTY METAL","22 Nov 2023","6865.25","6874.65","6768.20","6792.65"
"NIFTY METAL","21 Nov 2023","6817.45","6889.05","6814.25","6854.20"
"NIFTY METAL","20 Nov 2023","6820.15","6853.55","6767.05","6771.55"
"NIFTY METAL","17 Nov 2023","6792.65","6837.10","6783.50","6803.90"
"NIFTY METAL","16 Nov 2023","6792.35","6828.10","6747.55","6792.40"
"NIFTY METAL","15 Nov 2023","6782.45","6851.45","6775.60","6792.40"
"NIFTY METAL","13 Nov 2023","6692.80","6739.75","6670.65","6714.10"
"NIFTY METAL","12 Nov 2023","6707.35","6708.95","6682.10","6689.55"
"NIFTY METAL","10 Nov 2023","6594.75","6664.65","6571.30","6646.05"
"NIFTY METAL","09 Nov 2023","6636.65","6653.75","6593.15","6599.65"
"NIFTY METAL","08 Nov 2023","6609.95","6635.05","6583.00","6626.30"
"NIFTY METAL","07 Nov 2023","6575.70","6617.55","6545.95","6576.85"
