"Index Name","Date","Open","High","Low","Close"
"NIFTY PHARMA","29 Dec 2023","16878.95","16909.10","16769.50","16831.80"
"NIFTY PHARMA","28 Dec 2023","16698.10","16894.10","16617.35","16860.85"
"NIFTY PHARMA","27 Dec 2023","16609.00","16690.90","16530.45","16655.95"
"NIFTY PHARMA","26 Dec 2023","16418.60","16580.65","16385.70","16562.60"
"NIFTY PHARMA","22 Dec 2023","16312.50","16500.90","16281.45","16394.35"
"NIFTY PHARMA","21 Dec 2023","16048.40","16278.20","15868.15","16238.15"
"NIFTY PHARMA","20 Dec 2023","16461.75","16467.80","16086.00","16121.25"
"NIFTY PHARMA","19 Dec 2023","16407.80","16433.80","16228.30","16391.25"
"NIFTY PHARMA","18 Dec 2023","16196.40","16438.75","16161.60","16332.15"
"NIFTY PHARMA","15 Dec 2023","16250.90","16258.30","16150.50","16179.80"
"NIFTY PHARMA","14 Dec 2023","16202.30","16210.70","16089.75","16155.70"
"NIFTY PHARMA","13 Dec 2023","15986.85","16168.55","15938.75","16142.40"
"NIFTY PHARMA","12 Dec 2023","16109.80","16167.95","15914.30","15963.50"
"NIFTY PHARMA","11 Dec 2023","16077.90","16089.95","15909.55","16039.90"
"NIFTY PHARMA","08 Dec 2023","16311.05","16365.60","16079.30","16163.15"
"NIFTY PHARMA","07 Dec 2023","16163.30","16305.90","16137.50","16294.20"
"NIFTY PHARMA","06 Dec 2023","16297.40","16356.65","16106.95","16169.55"
"NIFTY PHARMA","05 Dec 2023","16248.20","16304.80","16174.15","16229.65"
"NIFTY PHARMA","04 Dec 2023","16372.05","16389.10","16183.05","16228.40"
"NIFTY PHARMA","01 Dec 2023","16298.95","16385.35","16222.85","16257.05"
"NIFTY PHARMA","30 Nov 2023","15973.20","16279.10","15971.75","16238.90"
"NIFTY PHARMA","29 Nov 2023","15952.50","16016.60","15903.75","15990.10"
"NIFTY PHARMA","28 Nov 2023","15980.80","16006.50","15884.35","15900.30"
"NIFTY PHARMA","24 Nov 2023","15884.70","16046.75","15880.90","15954.50"
"NIFTY PHARMA","23 Nov 2023","16092.45","16094.55","15792.00","15817.45"
"NIFTY PHARMA","22 Nov 2023","16008.90","16175.25","15987.10","16069.80"
"NIFTY PHARMA","21 Nov 2023","15849.95","15997.60","15814.65","15968.90"
"NIFTY PHARMA","20 Nov 2023","15809.45","15950.80","15782.95","15806.75"
"NIFTY PHARMA","17 Nov 2023","15671.70","15821.25","15658.70","15804.50"
"NIFTY PHARMA","16 Nov 2023","15535.45","15715.25","15518.60","15651.10"
"NIFTY PHARMA","15 Nov 2023","15596.10","15600.75","15472.55","15516.25"
"NIFTY PHARMA","13 Nov 2023","15533.90","15607.85","15430.40","15497.15"
"NIFTY PHARMA","12 Nov 2023","15576.45","15599.75","15539.85","15562.65"
"NIFTY PHARMA","10 Nov 2023","15491.70","15529.10","15386.30","15516.50"
